,Id,Tweet Time,Url,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,Follower Count,Following Count,Likes Count,Tweets Count,Tweet Text,KS,KH,DH,TDH,SWA,LO,AK
0,1580533269728460800,2022-10-13 12:17:51+00:00,https://twitter.com/CatatanAli07/status/1580533269728460800,0,0,8,https://twitter.com/Catatan_ali7/status/1580533011460026373,,,,,,,,"RT @Catatan_ali7: Aku baru main Twitter nih gais, rt aja ntar aku folbek semua 🙄👍",0,0,0,0,0,0,0
1,1580499737479782400,2022-10-13 10:04:36+00:00,https://twitter.com/CatatanAli07/status/1580499737479782400,0,0,2,https://twitter.com/Catatan_ali7/status/1580499651949514753,,,,,,,,RT @Catatan_ali7: Kalau abis Nonton Bokep SANGE HE 🙄👍,0,0,0,1,0,0,0
2,1580482417223118848,2022-10-13 08:55:46+00:00,https://twitter.com/CatatanAli07/status/1580482417223118848,0,0,4,https://twitter.com/Catatan_ali7/status/1580482014095908866,,,,,,,,RT @Catatan_ali7: Tanah Milik DKI dari 2012 sudah tidak bayar iuran tidak punya SHM itu bukti kalau ANIES TEGAS lebih Tegas dari JOKOWI AHO…,0,0,0,1,0,0,0
3,1580451643471994881,2022-10-13 06:53:29+00:00,https://twitter.com/CatatanAli07/status/1580451643471994881,0,0,3,https://twitter.com/Catatan_ali7/status/1580451260452388864,,,,,,,,RT @Catatan_ali7: Pengadu domba tukang fitnah kayak lu mau posting SELF REMINDER BESERTA HADITS DAN ISI AYAT ALQURAN seribu kali pun percum…,1,0,1,1,0,0,0
4,1580442623268900865,2022-10-13 06:17:39+00:00,https://twitter.com/CatatanAli07/status/1580442623268900865,0,0,10,https://twitter.com/Catatan_ali7/status/1574912256978128902,,,,,,,,"RT @Catatan_ali7: Bayangkan ketika kamu lagi Fitnah orang lagi Ghibahin orang Allah Memanggilmu 😥😥

maka pergunakanlah kesempatan hidup mu…",1,0,0,1,0,0,0
5,1580442607502516226,2022-10-13 06:17:35+00:00,https://twitter.com/CatatanAli07/status/1580442607502516226,0,0,7,https://twitter.com/Catatan_ali7/status/1562803094408560644,,,,,,,,"RT @Catatan_ali7: Bikin CUITAN AGAMA silahkan tapi ya sesuaikan dengan kelakuan nya , jgn hanya sekedar untuk cari simpati dan pujian 

Set…",1,0,0,0,0,0,0
6,1580442591241285633,2022-10-13 06:17:31+00:00,https://twitter.com/CatatanAli07/status/1580442591241285633,0,0,3,https://twitter.com/Catatan_ali7/status/1575114480891363328,,,,,,,,"RT @Catatan_ali7: Emak emak itu Kurang puas Apa ya FITNAH gua dulu

Skrg setiap ada yg bermasalah sama gua ikut jadi kompor 🙄

Gak takut ap…",1,0,0,1,1,0,0
7,1580442572765290497,2022-10-13 06:17:27+00:00,https://twitter.com/CatatanAli07/status/1580442572765290497,0,0,5,https://twitter.com/Catatan_ali7/status/1573951311099219968,,,,,,,,"RT @Catatan_ali7: Semua berat GHIBAH awal dari FITNAH dan FITNAH sudah pasti GHIBAH

Orang Terbiasa GHIBAH dia tidak akan merasa kalau dia…",0,0,0,1,0,0,0
8,1580427764704116737,2022-10-13 05:18:36+00:00,https://twitter.com/CatatanAli07/status/1580427764704116737,0,0,2,https://twitter.com/Catatan_ali7/status/1580426134893735936,,,,,,,,RT @Catatan_ali7: Yank..... Hujan Turun lagi ...... https://t.co/DXMDXTZ8wF,0,0,0,0,0,0,0
9,1580427739676696576,2022-10-13 05:18:30+00:00,https://twitter.com/CatatanAli07/status/1580427739676696576,0,0,2,https://twitter.com/Catatan_ali7/status/1580427538408820736,,,,,,,,"RT @Catatan_ali7: BENCI ARAB
PUJA PUJI CHINA 

GOBLOK !!!!!! 😂 https://t.co/nmqhwZoGlX",1,1,0,1,0,0,0
10,1580422682046189568,2022-10-13 04:58:24+00:00,https://twitter.com/CatatanAli07/status/1580422682046189568,0,0,2,https://twitter.com/Catatan_ali7/status/1580422388830773249,,,,,,,,RT @Catatan_ali7: Jika melihat KARAKTER Pendukung ANIES BASWEDAN saat ini saya rasa ANIES cocok Berpasangan dengan VIKTOR LAISKODAT Di 2024…,1,1,0,0,0,0,0
11,1580381172411949057,2022-10-13 02:13:28+00:00,https://twitter.com/CatatanAli07/status/1580381172411949057,0,0,2,https://twitter.com/Catatan_ali7/status/1576230666022227968,,,,,,,,RT @Catatan_ali7: Ada yang mulai Ngartis Gak kuat dengan naik nya Popularitas alias star syndrom😂,0,0,0,0,0,0,0
12,1580371270503264256,2022-10-13 01:34:07+00:00,https://twitter.com/CatatanAli07/status/1580371270503264256,0,0,3,https://twitter.com/Catatan_ali7/status/1580122437127372800,,,,,,,,"RT @Catatan_ali7: Bapak Tua Ompong itu sampai saat ini masih rutin jelek jelekin gua Bahkan sebar kebencian soal gua kemana mana

Gua bingu…",,,,,,,
13,1580365513339080710,2022-10-13 01:11:14+00:00,https://twitter.com/CatatanAli07/status/1580365513339080710,0,0,25,https://twitter.com/Catatan_ali7/status/1580365297013653504,,,,,,,,"RT @Catatan_ali7: Pada bahas budaya yang ini tidak sesuai budayalah yang itu tidak sesuai budayalah 

TAPI BUNGKAM ketika Kota Budaya YOGYA…",,,,,,,
14,1580356152218374144,2022-10-13 00:34:02+00:00,https://twitter.com/CatatanAli07/status/1580356152218374144,0,0,6,https://twitter.com/Catatan_ali7/status/1580352916619071490,,,,,,,,RT @Catatan_ali7: SHIN TAE YONG sudah melebih batas jika dia ingin bertanggung jawab ? Tanggung jawab apa ? Dia hny pelatih dibayar juga pa…,,,,,,,
15,1580356132110880770,2022-10-13 00:33:58+00:00,https://twitter.com/CatatanAli07/status/1580356132110880770,0,0,42,https://twitter.com/Catatan_ali7/status/1580355724785291264,,,,,,,,"RT @Catatan_ali7: Apa yang dikatakan STY itu seperti tidak ada rasa EMPATI terhadap TRAGEDI yg terjadi DIKANJURUHAN waktu itu

Tapi jika sa…",,,,,,,
16,1580180980005937152,2022-10-12 12:57:58+00:00,https://twitter.com/CatatanAli07/status/1580180980005937152,0,0,4,https://twitter.com/Catatan_ali7/status/1580180258833113088,,,,,,,,"RT @Catatan_ali7: Orang yang lepas pasang hijab itu konsep nya gimana ?  

Maksud gua kalau sudah berhijab ya konsisten lah berhijab Ya dal…",,,,,,,
17,1580134130515587072,2022-10-12 09:51:48+00:00,https://twitter.com/CatatanAli07/status/1580134130515587072,0,0,2,https://twitter.com/Catatan_ali7/status/1580133510442278912,,,,,,,,RT @Catatan_ali7: Yank..... kamu jalan duluan ya aku masih sarungan belum sempat pake celana tadi 🙄,0,0,0,0,1,0,0
