,Unnamed: 0.1,Unnamed: 0,index,Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,User Follower Count,User Following Count,User Likes Count,User Tweets Count,text_clean
9666,13002,13002,65137,605192249346035712,2015-06-01 02:00:50+00:00,https://twitter.com/KevinHalleran/status/605192249346035712,"@TheLastFranky ThnkyouFrankyURalsoAmazing InChrist,WhoGivesUsFaith,Mark5:25,34A womanWith A FlowOfBlood12yrsSheTouchedHisRobeWasHealed""FAITH",1,1,0,,2181323033.0,KevinHalleran,Daytona Beach FlA,1175.0,1646.0,452.0,6575.0,thnkyoufrankyuralsoamazing inchrist whogivesusfaith mark womanwith flowofblood yrsshetouchedhisrobewashealed faith
9667,13003,13003,65136,605199403821998080,2015-06-01 02:29:16+00:00,https://twitter.com/KevinHalleran/status/605199403821998080,"@TheLastFranky ThnksFrankyAsUSayGodBlessLizAndMe4GodBlessesU InKnowledgeOfChrist,+TheSpiritHeSentUsViaDth+Resurecion,WeCanDoAllThingsThruHim",1,1,0,,2181323033.0,KevinHalleran,Daytona Beach FlA,1175.0,1646.0,452.0,6575.0,thnksfrankyasusaygodblesslizandme godblessesu inknowledgeofchrist thespirithesentusviadth resurecion wecandoallthingsthruhim
9668,13010,13010,20378,605262711904043008,2015-06-01 06:40:50+00:00,https://twitter.com/__Bungs/status/605262711904043008,"He who is the Glory of Israel does not lie or change his mind; for he is not a man, that he should change his mind - 1 Samuel 15:29",1,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,glory israel does orang change mind that should change mind samuel
9669,13011,13011,20377,605263060660453376,2015-06-01 06:42:13+00:00,https://twitter.com/__Bungs/status/605263060660453376,But all the descendants of Israel will find deliverance in the LORD and will make their boast in him - Isaiah 45:25,0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,descendants israel will find deliverance lord will memakai their boast isaiah
9670,13012,13012,20376,605263229946707969,2015-06-01 06:42:53+00:00,https://twitter.com/__Bungs/status/605263229946707969,Their children will be mighty in the land; the generation of the upright will be blessed - Psalm 112:2,0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,their children will mighty land generation upright will blessed psalm
9671,13013,13013,20375,605263925123244032,2015-06-01 06:45:39+00:00,https://twitter.com/__Bungs/status/605263925123244032,"So there is hope for your future, declares the LORD. Your children will return to their own land - Jeremiah 31:17",0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,there hope your future declares lord your children will return tapi their land jeremiah
9672,13015,13015,20373,605264855063347200,2015-06-01 06:49:21+00:00,https://twitter.com/__Bungs/status/605264855063347200,Therefore I will look unto the LORD; I will wait for the God of my salvation: my God will hear me - Micah 7:7,0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,therefore will look unto lord will wait salvation will hear micah
9673,13016,13016,20372,605266570667921408,2015-06-01 06:56:10+00:00,https://twitter.com/__Bungs/status/605266570667921408,A man’s pride shall bring him low: but honor shall uphold the humble in spirit - Proverbs 29:23,0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,pride shall bring kalau honor shall uphold humble spirit proverbs
9674,13017,13017,20371,605267254305947648,2015-06-01 06:58:53+00:00,https://twitter.com/__Bungs/status/605267254305947648,Order my steps in thy word: and let not any iniquity have dominion over me - Psalm 119:133,1,1,1,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,order steps word iniquity have dominion over psalm
9675,13018,13018,20370,605267507629297665,2015-06-01 06:59:53+00:00,https://twitter.com/__Bungs/status/605267507629297665,"But the fruit of the Spirit is love, joy, peace, patience, kindness, goodness, faithfulness - Galatians 5:22",0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,fruit spirit cinta peace patience kindness goodness faithfulness galatians
9676,13019,13019,20369,605268195394461697,2015-06-01 07:02:37+00:00,https://twitter.com/__Bungs/status/605268195394461697,"The reward of humility and respect for Yahweh is riches, honor, and life - Proverbs 22:4",0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,reward humility respect yahweh riches honor life proverbs
9677,13020,13020,20368,605268324281237504,2015-06-01 07:03:08+00:00,https://twitter.com/__Bungs/status/605268324281237504,"You will keep him in perfect peace, whose mind is stayed on you, because he trusts you - Isaiah 26:3",0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,will keep perfect peace whose mind stayed because trusts isaiah
9678,13022,13022,20367,605268452366913537,2015-06-01 07:03:39+00:00,https://twitter.com/__Bungs/status/605268452366913537,We must obey God rather than men - Acts 5:29,1,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,must obey rather tahan acts
9679,13023,13023,20366,605268945021452288,2015-06-01 07:05:36+00:00,https://twitter.com/__Bungs/status/605268945021452288,Don’t be proud of increasing wealth. Don’t set your heart on it - Psalm 62:10,0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,proud increasing wealth your heart psalm
9680,13024,13024,20365,605269471247233024,2015-06-01 07:07:41+00:00,https://twitter.com/__Bungs/status/605269471247233024,Whoever comes to me will not go hungry; whoever believes me will never be thirsty - John 6:35,1,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,whoever comes tapi will hungry whoever believes will never thirsty john
9681,13025,13025,20364,605269617020239872,2015-06-01 07:08:16+00:00,https://twitter.com/__Bungs/status/605269617020239872,"God doesn't favor the rich more than the poor, for they are all the work of his hands - Job 34:19",0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,doesn favor rich more tahan poor they work hands
9682,13026,13026,20363,605269699899760642,2015-06-01 07:08:36+00:00,https://twitter.com/__Bungs/status/605269699899760642,"What is seen is temporary, but what is not seen is eternal - 2 Corinthians 4:18",0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,what seen temporary what seen eternal corinthians
9683,13027,13027,20362,605269834780188672,2015-06-01 07:09:08+00:00,https://twitter.com/__Bungs/status/605269834780188672,My soul longs and even yearns for the courtyards of the Lord. My mind and my body shout to a living God - Psalm 84:2,0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,soul longs even yearns courtyards lord mind body shout tapi living psalm
9684,13028,13028,20361,605270022517194752,2015-06-01 07:09:53+00:00,https://twitter.com/__Bungs/status/605270022517194752,"The universe, or life, or death, the present. or the future – all are yours - 1 Corinthians 3:22",0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,universe orang life orang death present orang future yours corinthians
9685,13029,13029,20360,605270099876921344,2015-06-01 07:10:11+00:00,https://twitter.com/__Bungs/status/605270099876921344,The Lord is fighting for you - Exodus 14:14,0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,lord fighting exodus
9686,13030,13030,20359,605270358149591040,2015-06-01 07:11:13+00:00,https://twitter.com/__Bungs/status/605270358149591040,You should greatly rejoice with inexpressible and glorious joy - 1 Peter 1:8,0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,should greatly rejoice dengan inexpressible glorious peter
9687,13031,13031,20358,605270504543416320,2015-06-01 07:11:48+00:00,https://twitter.com/__Bungs/status/605270504543416320,"Jesus said about the Second Coming, “Stay alert because you don’t know when the time will come” -- Mark 13:33",0,0,0,,914271535.0,__Bungs,Indonesia,3788.0,1449.0,459936.0,105430.0,jesus said about second coming stay alert because know when time will come mark
